task,model_name,mae,rmse,r2,mae_cells,rmse_cells,rmsle_cells,selected_threshold,threshold,accuracy,precision,recall,f1,confusion_matrix,classification_report,roc_auc,pr_auc
regression,lightgbm,0.7505782002734382,0.9693740215689828,0.6606141734795364,4796.2677307831245,8904.387616053891,,,,,,,,,,,
regression,xgboost,0.7351184142488806,0.9315466607592225,0.6865847138129544,5294.88474762648,9702.787971963053,,,,,,,,,,,
regression,hist_gradient_boosting,0.7407716166013557,0.962618088189215,0.6653283045617877,4753.252830018127,8731.752657792009,,,,,,,,,,,
regression,randomforest,0.7304971938000944,0.9216361981615918,0.6932179146830952,5071.507008797986,9247.132405201728,2.122145771050588,,,,,,,,,,
regression,catboost,0.7351244126165143,0.9111612390374986,0.7001518175488075,5387.8847024301585,9801.607603980805,,,,,,,,,,,
classification,lightgbm,,,,,,,0.05,0.05,0.9150943396226415,0.975609756097561,0.8333333333333334,0.898876404494382,"[[57, 1], [8, 40]]","{'0': {'precision': 0.8769230769230769, 'recall': 0.9827586206896551, 'f1-score': 0.926829268292683, 'support': 58.0}, '1': {'precision': 0.975609756097561, 'recall': 0.8333333333333334, 'f1-score': 0.898876404494382, 'support': 48.0}, 'accuracy': 0.9150943396226415, 'macro avg': {'precision': 0.9262664165103189, 'recall': 0.9080459770114943, 'f1-score': 0.9128528363935324, 'support': 106.0}, 'weighted avg': {'precision': 0.9216113844737867, 'recall': 0.9150943396226415, 'f1-score': 0.9141713677047731, 'support': 106.0}}",0.9802442528735633,0.9797778260486992
classification,xgboost,,,,,,,0.05,0.05,0.9245283018867925,0.9761904761904762,0.8541666666666666,0.9111111111111111,"[[57, 1], [7, 41]]","{'0': {'precision': 0.890625, 'recall': 0.9827586206896551, 'f1-score': 0.9344262295081968, 'support': 58.0}, '1': {'precision': 0.9761904761904762, 'recall': 0.8541666666666666, 'f1-score': 0.9111111111111111, 'support': 48.0}, 'accuracy': 0.9245283018867925, 'macro avg': {'precision': 0.9334077380952381, 'recall': 0.9184626436781609, 'f1-score': 0.9227686703096539, 'support': 106.0}, 'weighted avg': {'precision': 0.9293716307277629, 'recall': 0.9245283018867925, 'f1-score': 0.9238684400453655, 'support': 106.0}}",0.9816810344827586,0.9826221351856764
classification,hist_gradient_boosting,,,,,,,0.05,0.05,0.8867924528301887,1.0,0.75,0.8571428571428571,"[[58, 0], [12, 36]]","{'0': {'precision': 0.8285714285714286, 'recall': 1.0, 'f1-score': 0.90625, 'support': 58.0}, '1': {'precision': 1.0, 'recall': 0.75, 'f1-score': 0.8571428571428571, 'support': 48.0}, 'accuracy': 0.8867924528301887, 'macro avg': {'precision': 0.9142857142857144, 'recall': 0.875, 'f1-score': 0.8816964285714286, 'support': 106.0}, 'weighted avg': {'precision': 0.906199460916442, 'recall': 0.8867924528301887, 'f1-score': 0.8840128032345013, 'support': 106.0}}",0.9604885057471264,0.9689143985967847
classification,randomforest,,,,,,,0.1,0.1,0.9433962264150944,0.92,0.9583333333333334,0.9387755102040817,"[[54, 4], [2, 46]]","{'0': {'precision': 0.9642857142857143, 'recall': 0.9310344827586207, 'f1-score': 0.9473684210526315, 'support': 58.0}, '1': {'precision': 0.92, 'recall': 0.9583333333333334, 'f1-score': 0.9387755102040817, 'support': 48.0}, 'accuracy': 0.9433962264150944, 'macro avg': {'precision': 0.9421428571428572, 'recall': 0.944683908045977, 'f1-score': 0.9430719656283566, 'support': 106.0}, 'weighted avg': {'precision': 0.9442318059299193, 'recall': 0.9433962264150944, 'f1-score': 0.9434772916117787, 'support': 106.0}}",0.9617456896551724,0.9709236625048973
classification,catboost,,,,,,,0.1,0.1,0.9339622641509434,0.9019607843137255,0.9583333333333334,0.9292929292929293,"[[53, 5], [2, 46]]","{'0': {'precision': 0.9636363636363636, 'recall': 0.9137931034482759, 'f1-score': 0.9380530973451328, 'support': 58.0}, '1': {'precision': 0.9019607843137255, 'recall': 0.9583333333333334, 'f1-score': 0.9292929292929293, 'support': 48.0}, 'accuracy': 0.9339622641509434, 'macro avg': {'precision': 0.9327985739750446, 'recall': 0.9360632183908046, 'f1-score': 0.933673013319031, 'support': 106.0}, 'weighted avg': {'precision': 0.9357077994147917, 'recall': 0.9339622641509434, 'f1-score': 0.9340862287931915, 'support': 106.0}}",0.9849137931034483,0.9849910101225182
